zipcode, month, monthly response-time average
10462,1,44.533121337051675
11211,1,47.04179111236023
10304,1,57.37226682083457
10022,1,44.61121665996511
11228,1,28.790231594675326
10468,1,49.95189492719906
11207,1,39.32601987540261
11417,1,28.728964269561274
11377,1,25.058795473091934
11416,1,26.702050176219604
11434,1,40.37750258531541
10039,1,51.968962705551
11375,1,29.684167192097554
11218,1,38.01672952259784
11368,1,25.425349627356407
11106,1,32.1301082268586
11223,1,31.771137775578623
11694,1,36.308783643892326
10473,1,41.64801738934051
10454,1,55.231620327223744
11221,1,44.72843233739264
11229,1,23.697278859025914
11235,1,27.962170019814067
10302,1,44.126428666136334
11206,1,47.201519091951674
11204,1,36.68184497816598
11373,1,31.969808546204842
11209,1,35.50893402302348
10004,1,16.408674164962502
11230,1,32.0274751396268
10467,1,45.99861319480367
10034,1,47.267168018097415
10075,1,43.541438840156
10308,1,46.01128080808088
11420,1,32.0814716312057
10003,1,16.98326642885097
10461,1,35.97741827574531
11217,1,32.53297632058295
10027,1,53.43653336312194
11220,1,49.37757788622694
11237,1,40.704639794485175
11212,1,47.05065411709
10309,1,24.66280238571904
10458,1,59.38036200495046
11369,8,229.82742539540394
11374,1,32.62623322332237
10031,1,50.85538188924222
10314,1,27.62414952973064
11379,1,24.888179997972433
11378,1,18.35663310717146
10033,1,43.53044616239707
11222,1,33.107645042194065
10002,1,35.98320175438596
10452,1,56.60313457330421
11385,1,26.46580483315526
10001,1,36.97402180926568
11201,1,18.56501247278038
11356,1,20.25534958427817
10305,1,33.18983739837395
11205,1,27.734558892815016
11354,1,32.48801186680833
10128,1,40.670580888888864
11234,1,27.219469083490264
10455,1,47.78934392172634
11226,1,46.06897679241297
11355,1,32.62325606276757
11370,1,30.488682626896917
11419,1,27.61620061213131
11362,1,33.35929265873015
10312,1,43.954575534315644
11361,1,38.09964751303644
10025,1,51.48585897649137
10307,1,24.19772222222221
11249,1,34.746951030528415
11232,1,43.04042875744046
10471,1,39.498058341292555
10451,1,55.15374521072785
11203,1,47.531422598379564
11233,1,54.48165512575622
11357,1,45.87123900879294
11369,1,26.73736361361356
10032,1,52.69356892000186
10306,1,39.722805485409644
11109,1,26.046659356725147
11208,1,48.078488479069954
11365,1,23.324337210711256
11372,1,30.525737326388956
11225,1,57.02530679202771
11430,8,1343.4126873385017
10470,1,30.869295797554006
11214,1,31.890278218694903
11423,1,39.9068629326047
10014,1,42.48594891871737
10009,1,39.94118776916452
11215,1,32.61248610522345
10030,1,40.45080195023537
11239,1,5.512962906296752
11101,1,26.33242509076037
10029,1,57.6892221409412
11433,1,31.684093378433747
10456,1,50.0373843742895
11105,1,39.58429012345675
10457,1,51.8537984831444
11103,1,31.556007728595823
10023,1,179.50916646405668
10464,1,60.48935404339247
11104,1,43.84020068956544
10024,1,44.59889296529231
10453,1,56.87851698806235
10466,1,39.101775916323206
11418,1,23.07471172306215
10465,1,33.928702380952394
11236,1,41.74558912102382
11435,1,31.70203949737159
10028,1,47.6178303162713
10012,1,39.04784467380228
10021,1,44.23716996137244
11366,1,8.928825346394841
10301,1,58.82655260623574
11412,1,51.57213604549435
10010,1,47.1000349481803
10040,1,47.26486492873766
10013,1,43.14219864540463
11436,1,32.82623034287189
11414,1,115.83136080284963
10472,1,51.919644373672966
11367,1,44.5992005701957
10016,1,41.492521541950126
10463,1,37.37129470722294
11415,1,47.125463572124765
11102,1,27.51382792022788
10019,1,28.608619786646187
10026,1,50.1571628221114
11224,1,39.23436415525112
11231,1,36.118801716031975
10017,1,38.56370628122771
11216,1,48.091663377019884
11238,1,48.43339193962754
10005,1,27.586631054131065
10036,1,45.031352437417766
11428,1,30.107930691277595
11691,1,39.24342957130356
10011,1,36.3977902362495
10458,4,190.12677426183595
10035,1,48.17434970408548
10469,1,40.406293238073005
11413,1,38.24719967532471
10038,1,27.685036286286245
11692,1,39.587119614512446
10460,1,53.147226893939525
11435,2,75.84809791666684
10018,1,33.50005166398284
11432,1,36.77636347642502
11219,1,35.71548934108527
11213,1,56.20799846061937
10037,1,72.85626997555933
11421,1,19.340145803698455
10459,1,67.59080941973902
10065,1,26.005828460038995
10007,1,13.168427895981091
11429,1,34.62456678180771
10475,1,50.843481329690384
11004,1,54.96487654320989
10303,1,44.203691902687005
10024,2,87.50334699940584
10460,3,131.40422113040808
10310,1,27.24412344104306
11415,2,80.92597098214283
10474,1,61.1139121756487
11363,1,71.6753077342048
11430,1,121.89686743674376
10019,4,145.98779565941555
10314,3,66.42580544473996
10036,6,431.7529045893708
11411,1,23.260674369059313
10454,3,138.2035198067634
11422,1,49.39694984401241
11207,3,124.20392401523857
11210,2,83.49148946716222
10028,4,154.60734028597673
11426,1,39.89471166032956
11358,1,39.16791143317228
11427,1,41.53410425844344
10006,1,35.09120673952639
11238,4,135.2077162962959
10036,2,61.81700937950922
11207,5,239.8544946525702
11213,3,164.58497766481833
11421,2,33.26839326978636
10029,4,164.6109463089368
10016,2,78.98345351925624
11213,4,183.4921192365827
11232,2,77.04274868942598
11201,2,38.44061563533761
10457,2,129.12711044042027
11225,2,95.69366774193537
11215,3,129.63739682169387
11101,6,133.0000885525851
10453,3,139.407190701339
11430,6,1187.9575376647833
10028,6,362.17667119855025
11218,2,59.59908384076475
11369,2,51.693662458992996
11223,7,121.3504620976117
10003,5,231.60163459420724
11210,1,37.8809822204833
10280,1,218.1949316939892
10459,7,264.4278126100297
11372,2,62.60340788917085
10453,7,172.27098333018114
10039,5,268.08219651139325
11103,10,160.26059616888244
11226,2,121.84492738181568
10014,6,248.29512382864743
11103,2,51.97769217687086
11212,2,126.09595132620073
11360,1,27.58841972878387
11368,7,72.94901219153965
